latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
31.50504,-83.97521,331.1,1.52,1.22,2022-04-22,1556,T,84,6.1NRT,299.14,44.6,D
31.49414,-83.97668,314.65,1.52,1.22,2022-04-22,1556,T,40,6.1NRT,300.63,12.21,D
31.07396,-83.27121,316.39,1.36,1.16,2022-04-22,1556,T,68,6.1NRT,297.91,13.41,D
30.98875,-84.26402,313.15,1.56,1.23,2022-04-22,1556,T,62,6.1NRT,297.05,10.78,D
30.7543,-84.08282,311.24,1.51,1.21,2022-04-22,1556,T,36,6.1NRT,297.09,8.8,D
30.75267,-84.06724,317.07,1.5,1.21,2022-04-22,1556,T,70,6.1NRT,296.97,17.2,D
30.75052,-84.07436,321.22,1.5,1.21,2022-04-22,1556,T,76,6.1NRT,297.34,25.45,D
30.70039,-84.01821,322.22,1.49,1.21,2022-04-22,1556,T,77,6.1NRT,297.45,25.55,D
30.69872,-84.00278,320.9,1.49,1.2,2022-04-22,1556,T,75,6.1NRT,297.73,23.53,D
30.63158,-83.39721,316.98,1.37,1.16,2022-04-22,1556,T,66,6.1NRT,299.57,14.54,D
30.53689,-82.84283,310.46,1.27,1.12,2022-04-22,1556,T,52,6.1NRT,296.55,8.41,D
30.62011,-83.67751,313.82,1.42,1.18,2022-04-22,1556,T,60,6.1NRT,299.49,8.84,D
30.56799,-83.18593,318.8,1.33,1.14,2022-04-22,1556,T,68,6.1NRT,300.91,13.1,D
30.47735,-85.03196,312.13,1.72,1.29,2022-04-22,1556,T,40,6.1NRT,294.69,11.97,D
30.44278,-85.2747,315.82,1.78,1.31,2022-04-22,1556,T,61,6.1NRT,299.6,15.33,D
30.54936,-86.72611,315.92,2.24,1.45,2022-04-22,1556,T,42,6.1NRT,299.56,20.64,D
30.44792,-85.58047,333.13,1.87,1.34,2022-04-22,1556,T,86,6.1NRT,299.02,63.38,D
30.44612,-85.56113,329.05,1.86,1.33,2022-04-22,1556,T,83,6.1NRT,300.22,49.65,D
30.43568,-85.28155,319.73,1.78,1.31,2022-04-22,1556,T,74,6.1NRT,298.61,22.4,D
30.45464,-85.58549,316.14,1.87,1.34,2022-04-22,1556,T,62,6.1NRT,299.22,16.47,D
30.45271,-85.56621,326.69,1.86,1.33,2022-04-22,1556,T,81,6.1NRT,299.51,42.61,D
30.34679,-84.5518,317.4,1.59,1.24,2022-04-22,1556,T,60,6.1NRT,291.7,19.22,D
30.55145,-86.7319,313.42,2.24,1.45,2022-04-22,1556,T,30,6.1NRT,299.24,14.95,D
30.44072,-85.56767,327.45,1.86,1.33,2022-04-22,1556,T,82,6.1NRT,297.87,44.85,D
30.33564,-84.5533,317.24,1.59,1.24,2022-04-22,1556,T,56,6.1NRT,293.49,19.19,D
30.54048,-86.75661,321.74,2.25,1.45,2022-04-22,1556,T,77,6.1NRT,300.24,40.37,D
30.5384,-86.73334,335.38,2.24,1.45,2022-04-22,1556,T,88,6.1NRT,300.35,94.51,D
30.22431,-84.26535,325.53,1.52,1.22,2022-04-22,1556,T,80,6.1NRT,295.11,35.73,D
27.43518,-80.64061,326.19,1.01,1,2022-04-22,1556,T,77,6.1NRT,303.43,15.42,D
23.11443,-81.59827,319.31,1.01,1,2022-04-22,1558,T,69,6.1NRT,299.72,8.88,D
23.01676,-81.11697,322.49,1,1,2022-04-22,1558,T,54,6.1NRT,298.82,11.92,D
23.01535,-81.10734,315.81,1,1,2022-04-22,1558,T,16,6.1NRT,297.49,6.28,D
22.98953,-81.18067,327.2,1,1,2022-04-22,1558,T,79,6.1NRT,301.48,13.45,D
22.98812,-81.17104,336.33,1,1,2022-04-22,1558,T,87,6.1NRT,303.58,25.73,D
22.8058,-80.01712,330.74,1.03,1.02,2022-04-22,1558,T,83,6.1NRT,298.14,25.23,D
22.80427,-80.00721,317.98,1.03,1.02,2022-04-22,1558,T,61,6.1NRT,295.87,10.39,D
22.69283,-82.00257,325.08,1.02,1.01,2022-04-22,1558,T,74,6.1NRT,297.75,13.52,D
22.65464,-82.98257,323.98,1.07,1.03,2022-04-22,1558,T,62,6.1NRT,298.98,12.83,D
22.40248,-83.29567,319.25,1.1,1.05,2022-04-22,1558,T,63,6.1NRT,295.78,8.42,D
20.80711,-78.06562,318.34,1.32,1.14,2022-04-22,1558,T,42,6.1NRT,300.1,11.47,D
21.25135,-88.86958,317.27,2.42,1.5,2022-04-22,1558,T,65,6.1NRT,294.84,25.2,D
31.65976,-93.99107,343.44,3.06,1.66,2022-04-22,1734,T,93,6.1NRT,292.94,234,D
31.65277,-93.95995,310.95,3.08,1.67,2022-04-22,1734,T,51,6.1NRT,291.93,35.13,D
28.08431,-107.8502,321.47,1.23,1.1,2022-04-22,1737,T,61,6.1NRT,305.16,11.98,D
27.38994,-107.34631,332.22,1.15,1.07,2022-04-22,1737,T,79,6.1NRT,307.54,23.01,D
24.86074,-98.87491,320.42,2.03,1.39,2022-04-22,1737,T,33,6.1NRT,304.16,19.39,D
25.06531,-106.71564,328.87,1.04,1.02,2022-04-22,1737,T,73,6.1NRT,307.46,13.72,D
23.41124,-98.15552,318.69,2.46,1.51,2022-04-22,1737,T,66,6.1NRT,295.9,34.1,D
24.871,-107.04102,341.25,1.06,1.03,2022-04-22,1737,T,87,6.1NRT,310.69,32.16,D
24.85477,-107.25311,334.31,1.08,1.04,2022-04-22,1737,T,80,6.1NRT,313.17,20.35,D
24.85334,-107.24252,330.92,1.08,1.04,2022-04-22,1737,T,76,6.1NRT,311.51,15.3,D
24.59288,-106.09789,327.4,1.01,1,2022-04-22,1737,T,63,6.1NRT,303.67,15.81,D
24.63872,-107.08555,335.46,1.06,1.03,2022-04-22,1737,T,83,6.1NRT,313.48,18.75,D
23.09002,-98.14945,320.54,2.5,1.52,2022-04-22,1737,T,64,6.1NRT,299.31,42.8,D
24.57572,-107.87799,314.28,1.13,1.06,2022-04-22,1737,T,53,6.1NRT,303.83,11.7,D
23.00865,-98.34679,313.89,2.43,1.5,2022-04-22,1737,T,46,6.1NRT,293.79,27.48,D
23.01348,-98.35132,313.54,2.43,1.5,2022-04-22,1737,T,52,6.1NRT,293.53,27.38,D
23.50625,-105.59335,319.7,1,1,2022-04-22,1737,T,42,6.1NRT,306.13,7.63,D
23.50481,-105.58379,324.25,1,1,2022-04-22,1737,T,68,6.1NRT,304.32,11.91,D
23.10425,-106.05768,330.83,1,1,2022-04-22,1737,T,77,6.1NRT,313.44,10.62,D
23.00554,-105.5709,327.84,1,1,2022-04-22,1737,T,73,6.1NRT,307.44,14.65,D
23.00411,-105.56129,320.91,1,1,2022-04-22,1737,T,45,6.1NRT,307.17,7.75,D
22.88014,-105.04358,323.99,1.02,1.01,2022-04-22,1737,T,56,6.1NRT,310.53,8.21,D
22.68815,-104.75214,323.74,1.03,1.02,2022-04-22,1737,T,61,6.1NRT,306.17,10.96,D
22.59873,-104.17859,331.06,1.08,1.04,2022-04-22,1737,T,78,6.1NRT,310.24,16.95,D
